EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0179,FILL VIA METAL,STRIP RESIST,STRIP PHOTORESIST,MEASURE SPACER WIDTH,METAL ETCH
valid_0180,MEASURE PAD OPENING,CLEAN PAD OPENING,MEASURE SHEET RESISTANCE,PRE ANNEAL CHECK,MEASURE SURFACE PARTICLES
valid_0181,STRIP RESIST,STRIP PHOTORESIST,DIELECTRIC ETCH VIA,PASSIVATION ETCH PAD OPENING,DRY WAFER BACKSIDE
valid_0182,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,FIELD OXIDE ETCH
valid_0183,DEPOSIT BARRIER METAL,MEASURE VIA CD,SWITCHING TEST,HARD BAKE,IMPLANT N-TYPE
valid_0184,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,PASSIVATION ETCH PAD OPENING,MEASURE SPACER WIDTH
valid_0185,DEPOSIT BARRIER METAL,MEASURE VIA CD,FINAL CD INSPECTION,HARD BAKE,BACKSIDE METALLIZATION PREP
valid_0186,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,MEASURE METAL THICKNESS
valid_0187,STRIP RESIST,STRIP PHOTORESIST,DIELECTRIC ETCH VIA,FRONTSIDE CLEAN,EXPOSE LITHO LEVEL 5
valid_0188,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,HARD BAKE,IMPLANT N BUFFER
valid_0189,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,SWITCHING TEST,THERMAL OXIDATION
valid_0190,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,FRONTSIDE CLEAN FINAL,BACKSIDE ANNEAL,DEVELOP PAD WINDOW
valid_0191,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA ETCH,VIA INSPECTION,CLEAN AFTER VIA ETCH
valid_0192,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,PASSIVATION ETCH PAD OPENING,FINAL CD INSPECTION
valid_0193,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING
valid_0194,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE THICKNESS,P BODY WINDOW INSPECTION
valid_0195,MEASURE VIA CD,DEPOSIT BARRIER METAL,PAD WINDOW LITHO,EXPOSE LITHO LEVEL 3,OPEN PAD WINDOW LITHO
valid_0196,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,ETCH WET BACKSIDE,STRIP RESIST,DEPOSIT BACKSIDE PROTECTION
valid_0197,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,DENSIFY DIELECTRIC,DRY WAFER BACKSIDE
valid_0198,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,FIELD OXIDE ETCH
valid_0199,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,SWITCHING TEST
valid_0200,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,PASSIVATION ETCH PAD OPENING,MEASURE SPACER WIDTH
valid_0201,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE FILM THICKNESS,SPIN COAT PHOTORESIST,VIA OPENING INSPECTION
valid_0202,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,MEASURE BACKSIDE CONTACT,ANNEAL DIELECTRIC
valid_0203,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,MEASURE METAL THICKNESS,EXPOSE LITHO LEVEL 4
valid_0204,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,RCA CLEAN 2
valid_0205,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,SUBSTRATE CHECK,HARD BAKE,ALIGN MASK LEVEL 5
valid_0206,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER,METAL ETCH DRY,PATTERN INSPECTION LEVEL 2
valid_0207,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,VIA OPENING INSPECTION,DEVELOP PHOTORESIST,VIA INSPECTION
valid_0208,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,MEASURE GATE CD,THERMAL OXIDATION
valid_0209,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST,MEASURE FILM THICKNESS,BREAKDOWN VOLTAGE TEST
valid_0210,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,MEASURE GATE CD,THERMAL OXIDATION
valid_0211,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,BACKSIDE GRIND,OPEN BOND PAD WINDOW,CMP INTERLAYER DIELECTRIC
valid_0212,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,THERMAL OXIDATION,MEASURE GATE CD
valid_0213,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,HARD BAKE,SUBSTRATE CHECK,DENSIFY DIELECTRIC
valid_0214,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER,CMP DIELECTRIC,METAL ETCH DRY
valid_0215,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,EPITAXIAL WAFER CHECK,RAPID THERMAL ANNEAL
valid_0216,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,PATTERN INSPECTION LEVEL 2,LIGHT ANNEAL
valid_0217,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,VIA OPENING INSPECTION,VIA INSPECTION,DEVELOP PHOTORESIST
valid_0218,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DENSIFY OXIDE,RCA CLEAN 2
valid_0219,SOFT BAKE,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,FINAL THICKNESS MEASURE,DEPOSIT PASSIVATION
valid_0220,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,LIGHT ANNEAL,PATTERN INSPECTION LEVEL 2
valid_0221,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,OPEN BOND PAD WINDOW,MEASURE DEVICE PARAMETER,CMP INTERLAYER DIELECTRIC
valid_0222,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PARAMETRIC TEST,ELECTRICAL PARAMETRIC TEST,CMP DIELECTRIC
valid_0223,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,WET CLEAN RCA1,RAPID THERMAL ANNEAL
valid_0224,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER,PATTERN INSPECTION LEVEL 2,METAL ETCH DRY
valid_0225,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,BREAKDOWN VOLTAGE TEST,MEASURE SURFACE PLANARITY,MEASURE INITIAL THICKNESS
valid_0226,CURE PASSIVATION,DEPOSIT PASSIVATION,SWITCHING TEST,HARD BAKE,WAFER SORT TEST
valid_0227,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,CMP INTERLAYER DIELECTRIC
valid_0228,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,ANNEAL DIELECTRIC,MEASURE BACKSIDE CONTACT
valid_0229,SPIN COAT PHOTORESIST,BACKSIDE DRY,MEASURE POLY THICKNESS,STRIP RESIST,STRIP PHOTORESIST
valid_0230,CURE PASSIVATION,PACKAGE PREPARATION,DEPOSIT PASSIVATION,SPIN COAT PHOTORESIST,MEASURE PASSIVATION THICKNESS
valid_0231,DENSIFY DIELECTRIC,DENSIFY OXIDE,STRIP RESIST,STRIP PHOTORESIST,PRE CLEAN WAFER
valid_0232,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,SWITCHING TEST,CLEAN PAD OPENING
valid_0233,SOFT BAKE,DEVELOP PHOTORESIST,DEPOSIT PASSIVATION,IMPLANT SOURCE REGION,FINAL THICKNESS MEASURE
valid_0234,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER,CMP DIELECTRIC,METAL ETCH DRY
valid_0235,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,DEPOSIT PASSIVATION LAYER,MEASURE DIELECTRIC THICKNESS,VIA OPENING INSPECTION
valid_0236,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,CMP METAL,RCA CLEAN 2
valid_0237,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,METAL PATTERN INSPECTION,MEASURE PLANARITY
valid_0238,CURE PASSIVATION,DEPOSIT PASSIVATION,MEASURE OXIDE QUALITY,SPIN COAT PHOTORESIST,DEPOSIT FIELD OXIDE
valid_0239,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,EPITAXIAL WAFER CHECK,OPEN BOND PAD WINDOW
valid_0240,CURE PASSIVATION,DEPOSIT PASSIVATION,SWITCHING TEST,HARD BAKE,LIGHT ANNEAL
valid_0241,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,BREAKDOWN VOLTAGE TEST,LEAKAGE TEST,SPIN COAT PHOTORESIST
valid_0242,CURE PASSIVATION,HARD BAKE,DEPOSIT PASSIVATION LAYER,MEASURE METAL THICKNESS,SHIP LOT
valid_0243,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,VIA OPENING INSPECTION,DEPOSIT PASSIVATION LAYER
valid_0244,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT TOP METAL,PRE ANNEAL CHECK
valid_0245,SPIN COAT PHOTORESIST,MEASURE FILM THICKNESS,MEASURE EPITAXY THICKNESS,MEASURE PLANARITY,STRIP RESIST
valid_0246,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PARAMETRIC TEST,ELECTRICAL PARAMETRIC TEST,CMP DIELECTRIC
valid_0247,SPIN COAT PHOTORESIST,STRIP RESIST,MEASURE FILM THICKNESS,MEASURE EPITAXY THICKNESS,MEASURE PLANARITY
valid_0248,CURE PASSIVATION,WAFER CLEAN PRE-GRIND,CMP DIELECTRIC,DEPOSIT PASSIVATION,MEASURE FILM THICKNESS
valid_0249,SOFT BAKE,POLYSILICON ANNEAL,ANNEAL METAL 1,MEASURE THICKNESS,PARAMETRIC TEST
valid_0250,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DEPOSIT PASSIVATION LAYER,MEASURE DIELECTRIC THICKNESS,SHIP LOT
valid_0251,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP DIELECTRIC,PRE ANNEAL CHECK,EPITAXIAL WAFER CHECK
valid_0252,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,PARAMETRIC TEST,CURE PASSIVATION,DEVELOP PHOTORESIST
valid_0253,SPIN COAT PHOTORESIST,STRIP RESIST,MEASURE EPITAXY THICKNESS,MEASURE PLANARITY,STRIP PHOTORESIST
valid_0254,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PARAMETRIC TEST,ELECTRICAL PARAMETRIC TEST,PATTERN INSPECTION LEVEL 1
valid_0255,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP DIELECTRIC,DEPOSIT METAL SEED,EPITAXIAL WAFER CHECK
valid_0256,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,ANISOTROPIC ETCH SPACER,PARAMETRIC TEST
valid_0257,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,SUBSTRATE CHECK,EXPOSE LITHO LEVEL 2,ALIGN MASK LEVEL 5
valid_0258,CURE PASSIVATION,DEPOSIT PASSIVATION,SPIN COAT PHOTORESIST,WAFER SORT TEST,OPEN PAD WINDOW
valid_0259,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP DIELECTRIC,PRE ANNEAL CHECK,EPITAXIAL WAFER CHECK
valid_0260,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER,CMP DIELECTRIC,METAL ETCH DRY
valid_0261,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,EPITAXIAL WAFER CHECK,RAPID THERMAL ANNEAL
valid_0262,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION,MEASURE SURFACE UNIFORMITY,LIGHT ANNEAL
valid_0263,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,DEPOSIT PASSIVATION LAYER,MEASURE RESISTIVITY
valid_0264,CURE PASSIVATION,PACKAGE PREPARATION,DEPOSIT PASSIVATION,METAL ETCH DRY,DEPOSIT SPACER DIELECTRIC
valid_0265,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,DEVELOP PHOTORESIST
valid_0266,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,BACKSIDE ETCH CLEAN,MEASURE DIELECTRIC THICKNESS,METAL ETCH DRY
valid_0267,SOFT BAKE,DEVELOP PHOTORESIST,IMPLANT SOURCE REGION,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 5
valid_0268,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER,CMP DIELECTRIC,PATTERN INSPECTION LEVEL 2
valid_0269,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,METAL PATTERN INSPECTION,MEASURE PLANARITY
valid_0270,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,PARAMETRIC TEST,CURE PASSIVATION,LOT IDENTIFICATION
valid_0271,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,CMP INTERLAYER DIELECTRIC,OPEN BOND PAD WINDOW,DEPOSIT PASSIVATION
valid_0272,CURE PASSIVATION,DEPOSIT PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT FIELD OXIDE,MEASURE OXIDE QUALITY
valid_0273,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,DEVELOP PHOTORESIST,DEPOSIT PASSIVATION
valid_0274,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,ANNEAL DIELECTRIC,MEASURE BACKSIDE CONTACT
valid_0275,SPIN COAT PHOTORESIST,BACKSIDE DRY,WET CLEAN RCA2,MEASURE METAL THICKNESS,STRIP RESIST
valid_0276,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER,CMP DIELECTRIC,METAL ETCH DRY
valid_0277,SPIN COAT PHOTORESIST,STRIP RESIST,MEASURE FILM THICKNESS,MEASURE EPITAXY THICKNESS,STRIP PHOTORESIST
valid_0278,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PARAMETRIC TEST,ELECTRICAL PARAMETRIC TEST,CMP DIELECTRIC
valid_0279,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,METAL PATTERN INSPECTION,MEASURE METAL THICKNESS
valid_0280,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,SHIP LOT,CLEAN AFTER METAL ETCH,POLYSILICON ANNEAL
valid_0281,DENSIFY OXIDE,DENSIFY DIELECTRIC,STRIP RESIST,STRIP PHOTORESIST,ALIGN MASK LEVEL 5
valid_0282,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN PAD OPENING,CLEAN AFTER WINDOW ETCH,CLEAN AFTER ETCH
valid_0283,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,EPITAXIAL WAFER CHECK,OPEN BOND PAD WINDOW
valid_0284,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION,MEASURE THICKNESS,WAFER SORT TEST
valid_0285,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,SPIN COAT PHOTORESIST,BACKSIDE ETCH CLEAN,DEPOSIT PASSIVATION
valid_0286,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,ANNEAL DIELECTRIC,CMP INTERLAYER DIELECTRIC
valid_0287,EXPOSE LITHO LEVEL 5,CLEAN AFTER POLY ETCH,RAPID THERMAL ANNEAL,ALIGN MASK LEVEL 5,PARAMETRIC TEST
valid_0288,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,ALIGN MASK LEVEL 6,PARAMETRIC TEST
valid_0289,SPIN COAT PHOTORESIST,STRIP RESIST,MEASURE FILM THICKNESS,MEASURE EPITAXY THICKNESS,MEASURE PLANARITY
valid_0290,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,POST EXPOSE BAKE,THERMAL OXIDATION
valid_0291,SPIN COAT PHOTORESIST,WET CLEAN RCA2,BACKSIDE DRY,MEASURE METAL THICKNESS,STRIP RESIST
valid_0292,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER,METAL ETCH DRY,PATTERN INSPECTION LEVEL 2
valid_0293,SPIN COAT PHOTORESIST,STRIP RESIST,BACKSIDE DRY,STRIP PHOTORESIST,MEASURE PLANARITY
valid_0294,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,RCA CLEAN 2
valid_0295,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,CMP INTERLAYER DIELECTRIC,OPEN BOND PAD WINDOW,DEPOSIT TUNGSTEN SEED
valid_0296,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,POLYSILICON ANNEAL,SHIP LOT
valid_0297,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,DENSIFY DIELECTRIC,SPIN COAT PHOTORESIST,IMPLANT CHANNEL STOP
valid_0298,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,CMP METAL,MEASURE FILM THICKNESS
valid_0299,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,WET CLEAN RCA1,EPITAXIAL WAFER CHECK
valid_0300,CURE PASSIVATION,DEPOSIT PASSIVATION,SPIN COAT PHOTORESIST,OPEN PAD WINDOW,MEASURE SURFACE UNIFORMITY
valid_0301,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,CMP INTERLAYER DIELECTRIC,OPEN BOND PAD WINDOW,DEPOSIT TUNGSTEN SEED
valid_0302,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,METAL ETCH DRY,CLEAN AFTER METAL ETCH,SPIN COAT PHOTORESIST
valid_0303,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,SPIN COAT PHOTORESIST,RAPID THERMAL ANNEAL,DENSIFY DIELECTRIC
valid_0304,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT TOP METAL,PRE ANNEAL CHECK
valid_0305,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SURFACE PLANARITY,BREAKDOWN VOLTAGE TEST,EXPOSE LITHO LEVEL 1
valid_0306,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,MEASURE JUNCTION DEPTH,PARAMETRIC TEST
valid_0307,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,CMP INTERLAYER DIELECTRIC,DEPOSIT TUNGSTEN SEED,OPEN BOND PAD WINDOW
valid_0308,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,IMPLANT P BODY,BACKSIDE ETCH CLEAN,METAL ETCH DRY
valid_0309,SPIN COAT PHOTORESIST,MEASURE THICKNESS,MEASURE EPITAXY THICKNESS,MEASURE FILM THICKNESS,STRIP RESIST
valid_0310,CURE PASSIVATION,MEASURE DIELECTRIC THICKNESS,CLEAN AFTER METAL ETCH,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST
valid_0311,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,OPEN BOND PAD WINDOW,DIELECTRIC ETCH VIA
valid_0312,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,SPIN COAT PHOTORESIST,SHIP LOT,POLYSILICON ANNEAL
valid_0313,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST,MEASURE FILM THICKNESS,DEPOSIT TUNGSTEN SEED
valid_0314,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,RCA CLEAN 2,CURE PASSIVATION
valid_0315,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,METAL PATTERN INSPECTION,EXPOSE LITHO LEVEL 4
valid_0316,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DENSIFY OXIDE,ANNEAL DIELECTRIC
valid_0317,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,DEPOSIT PASSIVATION
valid_0318,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,PARAMETRIC TEST,LOT IDENTIFICATION
valid_0319,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,DIELECTRIC ETCH VIA,DEPOSIT BACKSIDE METAL,EPITAXY ANNEAL
valid_0320,CURE PASSIVATION,SPIN COAT PHOTORESIST,WAFER CLEAN PRE-GRIND,DEPOSIT POLYSILICON,MEASURE THICKNESS
valid_0321,SPIN COAT PHOTORESIST,STRIP RESIST,MEASURE EPITAXY THICKNESS,MEASURE PLANARITY,MEASURE FILM THICKNESS
valid_0322,CURE PASSIVATION,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER
valid_0323,SOFT BAKE,DEVELOP PHOTORESIST,PARAMETRIC TEST,BACKSIDE DRY,POLYSILICON ETCH DRY
valid_0324,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE PASSIVATION QUALITY,FINAL GEOMETRY CHECK,MEASURE EPITAXY THICKNESS
valid_0325,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST,PRE CLEAN WAFER,DRY WAFER
valid_0326,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,MEASURE RESISTIVITY,CMP INTERLAYER DIELECTRIC
valid_0327,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,PRE CLEAN WAFER,DEPOSIT BACKSIDE METAL
valid_0328,CURE PASSIVATION,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION LAYER,MEASURE EPITAXY THICKNESS,STRIP RESIST
valid_0329,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,DEPOSIT PASSIVATION,RAPID THERMAL ANNEAL
valid_0330,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,PARAMETRIC TEST,DEVELOP PHOTORESIST,CURE PASSIVATION
valid_0331,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,CMP DIELECTRIC,PRE ANNEAL CHECK,BACKSIDE GRIND
valid_0332,CURE PASSIVATION,PACKAGE PREPARATION,DEPOSIT PASSIVATION,SPIN COAT PHOTORESIST,MEASURE PASSIVATION THICKNESS
valid_0333,DENSIFY DIELECTRIC,DENSIFY OXIDE,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST
valid_0334,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,ANNEAL DIELECTRIC,MEASURE BACKSIDE CONTACT
valid_0335,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST,MEASURE FILM THICKNESS,VIA OPENING INSPECTION
valid_0336,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,PARAMETRIC TEST,CURE PASSIVATION,MEASURE JUNCTION DEPTH
valid_0337,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,VIA OPENING INSPECTION,IMPLANT P BODY
valid_0338,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,CMP INTERLAYER DIELECTRIC,CURE PASSIVATION
valid_0339,SOFT BAKE,DEVELOP PHOTORESIST,DEPOSIT TUNGSTEN SEED,POLYSILICON ANNEAL,RECEIVE WAFER LOT
valid_0340,CURE PASSIVATION,DEPOSIT PASSIVATION,DEPOSIT FIELD OXIDE,SPIN COAT PHOTORESIST,MEASURE OXIDE QUALITY
valid_0341,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,POLY PATTERN INSPECTION,THERMAL OXIDATION,MEASURE FILM THICKNESS
valid_0342,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,OXIDE STRIP,SWITCHING TEST
valid_0343,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,MEASURE PLANARITY,METAL PATTERN INSPECTION
valid_0344,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,PARAMETRIC TEST,CURE PASSIVATION,MEASURE JUNCTION DEPTH
valid_0345,SPIN COAT PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST,METAL PATTERN INSPECTION,MEASURE PLANARITY
valid_0346,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,PARAMETRIC TEST,DEPOSIT FIELD OXIDE
valid_0347,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST,MEASURE FILM THICKNESS,DEPOSIT TUNGSTEN SEED
valid_0348,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,ANNEAL DIELECTRIC
valid_0349,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DEVICE PARAMETER,BACKSIDE ETCH CLEAN,OXIDE ETCH
valid_0350,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH,CLEAN AFTER VIA ETCH,ALIGN MASK LEVEL 5
valid_0351,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,MEASURE FILM THICKNESS,DEPOSIT TUNGSTEN SEED
valid_0352,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,MEASURE BACKSIDE CONTACT,ANNEAL DIELECTRIC
valid_0353,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 4,PASSIVATION ETCH PAD OPENING,DEPOSIT INTERLAYER DIELECTRIC,ALIGN MASK LEVEL 6
